symbol,name,horizon_days,model,status,model_status,train_rows,test_rows,eligible_for_comparison,mae,rmse,mape,smape,rmspe,mase,absolute_percentage_error_p50,absolute_percentage_error_p90,directional_accuracy,error_message,arima_order
etc,Ethereum Classic,3,Naive,success,VALIDATED_BASELINE,292,70,True,0.9157157106866821,1.2971383051263987,5.754195505593293,5.635597197995307,8.223017915747755,1.388144825845927,4.22117342294354,11.011055307765593,0.0,,
etc,Ethereum Classic,3,XGBoost,success,EXPERIMENTAL,292,70,True,1.9800600244476958,2.438062857993302,13.262971996406755,12.010074592534329,16.812279396363575,3.0015975981675416,11.144635322787591,27.972006775366353,38.57142857142858,,
etc,Ethereum Classic,7,ARIMA,success,VALIDATED,292,66,True,1.1903017045846003,1.6063282715568317,7.6785225342633225,7.216824114215739,10.51379910285314,1.8043931464009233,5.248888834977781,15.52213994946455,48.484848484848484,,"(1, 1, 2)"
etc,Ethereum Classic,7,Naive,success,VALIDATED_BASELINE,292,66,True,1.1471202026660858,1.5544823556849303,7.28628806506981,6.9432465176204605,10.02900415965539,1.738933771006466,5.675701812908914,14.862677052979713,0.0,,
etc,Ethereum Classic,7,XGBoost,success,EXPERIMENTAL,292,66,True,3.7233153487254658,4.245564698102242,25.048334984980976,21.4394074508715,29.37680525866085,5.644220008467687,22.078481704779207,47.48582340059736,45.45454545454545,,
etc,Ethereum Classic,14,ARIMA,success,VALIDATED,292,59,True,1.881743149573869,2.2628979606446604,12.449251378155951,11.441611809727888,15.018543915663741,2.852557825717748,11.085974805603554,26.549719830134276,28.8135593220339,,"(1, 1, 2)"
etc,Ethereum Classic,14,Naive,success,VALIDATED_BASELINE,292,59,True,1.589188478667481,2.0397176461443385,10.422507941631615,9.674502592674818,13.457784204848117,2.4090705643806833,7.518281099701713,25.13935881788896,0.0,,
etc,Ethereum Classic,14,XGBoost,success,EXPERIMENTAL,292,59,True,4.1620703855815115,4.709543909217796,28.27346934082626,23.847195804768297,32.93042701841742,6.3093342214463375,24.08996993404239,55.77491266446705,35.59322033898305,,
etc,Ethereum Classic,30,ARIMA,success,VALIDATED,292,43,True,3.09881441501089,3.2553259809554107,20.79309992999425,18.661475548043125,21.885503537802087,4.697531282092375,19.76147057941995,29.56883877031189,11.627906976744185,,"(1, 1, 2)"
etc,Ethereum Classic,30,Naive,success,VALIDATED_BASELINE,292,43,True,2.4614266060723136,2.7031434249991046,16.468611159122023,15.035646273128622,18.1173123123983,3.7313071814139356,16.09405209983465,26.510547823421902,0.0,,
etc,Ethereum Classic,30,XGBoost,success,EXPERIMENTAL,292,43,True,2.151203377450792,2.9222655443319248,15.197250308198987,13.375449550585577,21.127385695953063,3.2610359338612906,8.545241664005598,39.33022702160945,58.139534883720934,,
fbtc,Function FBTC,1,ARIMA,success,VALIDATED,292,72,True,2141.0808501928655,2885.696042322621,2.040099337812862,2.0253817608175675,2.7676495090231112,1.3619027719179777,1.7209205398830592,4.220067376632217,48.61111111111111,,"(1, 1, 2)"
fbtc,Function FBTC,1,Naive,success,VALIDATED_BASELINE,292,72,True,2157.1021695248237,2882.3137801902376,2.050489848255696,2.037716581067764,2.758593498885573,1.3720936431342663,1.517057871484501,4.319056056917065,0.0,,
fbtc,Function FBTC,1,XGBoost,success,EXPERIMENTAL,292,72,True,2802.6916762194064,3527.125891248726,2.71781251830488,2.6893675641032746,3.498371089267073,1.7827414421696517,2.155371882855813,5.678511877093584,56.94444444444444,,
fbtc,Function FBTC,3,ARIMA,success,VALIDATED,292,70,True,3931.4734747593848,4726.038882646207,3.772497954673846,3.7193924747750446,4.561369417066476,2.5007391115167388,3.1653235144047467,7.709054624101895,44.285714285714285,,"(1, 1, 2)"
fbtc,Function FBTC,3,Naive,success,VALIDATED_BASELINE,292,70,True,3944.3498145858475,4679.514629398415,3.780693832657043,3.7316784027002434,4.504669082064808,2.5089295181985967,3.236081776238882,7.414531381074183,0.0,,
fbtc,Function FBTC,3,XGBoost,success,EXPERIMENTAL,292,70,True,4534.728475500805,5460.673689211327,4.403523482584996,4.317307046439812,5.442704239131934,2.8844586976356448,4.0290444110071535,8.177719003297076,60.0,,
fbtc,Function FBTC,7,ARIMA,success,VALIDATED,292,66,True,6330.109967454009,7391.621950958121,6.118373226296268,5.984332240141562,7.213245491548886,4.026468365472826,5.793455743568049,11.007807213619223,45.45454545454545,,"(1, 1, 2)"
fbtc,Function FBTC,7,Naive,success,VALIDATED_BASELINE,292,66,True,6269.47108844055,7345.938148072519,6.0554009809539915,5.929663494841102,7.149057027816299,3.987897072190281,5.825276805363137,10.832285823239268,0.0,,
fbtc,Function FBTC,7,XGBoost,success,EXPERIMENTAL,292,66,True,6224.2407438781465,7540.621894803117,6.08675724954418,5.964705441569443,7.504849534464537,3.9591268687536414,5.003798509655662,11.069817647446385,50.0,,
